Major Heading,Major_Heading_MS,Major_Heading_CN,Major_Heading_VN,Activity Code,MET Value,Activity Description,Activity_Description_MS,Activity_Description_CN,Activity_Description_VN
Walking,Berbasikal,散步,Đi bộ,17190,3.8,"Walking, 2.8 to 3.4 mph, level, moderate pace, firm surface","Berjalan, 2.8 hingga 3.4 mph, rata, kadar sederhana, permukaan keras",步行，2.8-3.4 英里/小时，平地，中速，坚实路面,"Đi bộ, 2,8-3,4 mph, mặt bằng, tốc độ vừa, bề mặt cứng"
Walking,Berbasikal,散步,Đi bộ,17200,4.8,"Walking, 3.5 to 3.9 mph, level, brisk, firm surface, walking for exercise","Berjalan, 3.5 hingga 3.9 mph, rata, laju, permukaan keras, berjalan untuk senaman",步行，3.5-3.9 英里/小时，平地，快速，坚实路面，锻炼用,"Đi bộ, 3,5-3,9 mph, mặt bằng, nhanh, bề mặt cứng, đi bộ để tập thể dục"
Walking,Berbasikal,散步,Đi bộ,17220,5.5,"Walking, 4.0 to 4.4 mph (6.4 to 7.0 km/h), level, firm surface, very brisk pace","Berjalan, 4.0 hingga 4.4 mph (6.4 hingga 7.0 km/j), rata, permukaan keras, kadar sangat laju",步行，4.0-4.4 英里/小时（6.4-7.0 公里/小时），平地，非常快,"Đi bộ, 4,0-4,4 mph (6,4-7,0 km/h), mặt bằng, bề mặt cứng, rất nhanh"
Walking,Berbasikal,散步,Đi bộ,17230,7,"Walking, 4.5 to 4.9 mph, level, firm surface, very, very brisk","Berjalan, 4.5 hingga 4.9 mph, rata, permukaan keras, sangat, sangat laju",步行，4.5-4.9 英里/小时，平地，极快,"Đi bộ, 4,5-4,9 mph, mặt bằng, bề mặt cứng, rất, rất nhanh"
Walking,Berbasikal,散步,Đi bộ,17231,8.5,"Walking, 5.0 to 5.5 mph (8.8 to 8.9 km/h), level, firm surface","Berjalan, 5.0 hingga 5.5 mph (8.8 hingga 8.9 km/j), rata, permukaan keras",步行，5.0-5.5 英里/小时（8.8-8.9 公里/小时），平地,"Đi bộ, 5,0-5,5 mph (8,0-8,9 km/h), mặt bằng, bề mặt cứng"
Walking,Berbasikal,散步,Đi bộ,17250,3.5,"Walking, for pleasure, work break (Taylor Code xxx)","Berjalan, untuk keseronokan, waktu rehat kerja (Taylor Code xxx)",步行，休闲，工作间隙（Taylor 代码 xxx）,"Đi bộ, để thư giãn, nghỉ giải lao (Mã Taylor xxx)"
Walking,Berbasikal,散步,Đi bộ,17255,4,"Walking, self-selected speed, indoor track or outdoors, firm surface","Berjalan, kadar sendiri, trek dalam bangunan atau luar, permukaan keras",步行，自选速度，室内跑道或户外，坚实路面,"Đi bộ, tốc độ tự chọn, trên đường đi trong nhà hoặc ngoài trời, bề mặt cứng"
Walking,Berbasikal,散步,Đi bộ,17260,4.8,"Walking, grass track","Berjalan, trek rumput",步行，草地跑道,"Đi bộ, trên đường cỏ"
Walking,Berbasikal,散步,Đi bộ,17262,4.5,"Walking, normal pace, plowed field or sand","Berjalan, kadar normal, di ladang yang dibajak atau pasir",步行，正常速度，犁地或沙地,"Đi bộ, tốc độ bình thường, ruộng cày hoặc cát"
Walking,Berbasikal,散步,Đi bộ,17270,4,"Walking, to work or class (Taylor Code 015)","Berjalan, ke tempat kerja atau kelas (Taylor Code 015)",步行，上班或上课（Taylor 代码 015）,Đi bộ đến nơi làm việc hoặc lớp học (Mã Taylor 015)
Walking,Berbasikal,散步,Đi bộ,17280,2.5,"Walking, to and from an outhouse","Berjalan, ke dan dari tandas luar",步行，往返户外厕所,"Đi bộ, đến và từ nhà vệ sinh ngoài trời"
Walking,Berbasikal,散步,Đi bộ,17302,4.3,"Walking, for exercise, 2.5 to 3.5 mph (4.0 to 5.6 km/h), with ski poles, Nordic walking, level, moderate pace","Berjalan untuk senaman, 2.5 hingga 3.5 mph (4.0 hingga 5.6 km/j), dengan kayu ski, berjalan Nordic, rata, kadar sederhana",步行锻炼，2.5-3.5 英里/小时（4.0-5.6 公里/小时），使用滑雪杖，平地，中速,"Đi bộ, để tập thể dục, 2,5-3,5 mph (4,0-5,6 km/h), với gậy trượt tuyết, Nordic walking, mặt bằng, tốc độ vừa"
Walking,Berbasikal,散步,Đi bộ,17304,5.3,"Walking, for exercise, 3.6 to 4.4 mph (5.8 to 7.1 km/h), with ski poles, Nordic walking, level, moderate pace","Berjalan untuk senaman, 3.6 hingga 4.4 mph (5.8 hingga 7.1 km/j), dengan kayu ski, berjalan Nordic, rata, kadar sederhana",步行锻炼，3.6-4.4 英里/小时（5.8-7.1 公里/小时），使用滑雪杖，平地，中速,"Đi bộ, để tập thể dục, 3,6-4,4 mph (5,8-7,1 km/h), với gậy trượt tuyết, Nordic walking, mặt bằng, tốc độ vừa"
Walking,Berbasikal,散步,Đi bộ,17305,8.5,"Walking, for exercise, 4.5 to 5.0 mph, with ski poles, Nordic walking, level, fast pace","Berjalan untuk senaman, 4.5 hingga 5.0 mph, dengan kayu ski, berjalan Nordic, rata, kadar laju",步行锻炼，4.5-5.0 英里/小时，使用滑雪杖，平地，快速,"Đi bộ, để tập thể dục, 4,5-5,0 mph, với gậy trượt tuyết, Nordic walking, mặt bằng, tốc độ nhanh"
Walking,Berbasikal,散步,Đi bộ,17310,8.8,"Walking, for exercise, with ski poles, Nordic walking, uphill, moderate pace","Berjalan untuk senaman, dengan kayu ski, berjalan Nordic, mendaki bukit, kadar sederhana",步行锻炼，使用滑雪杖，上坡，中速,"Đi bộ, để tập thể dục, với gậy trượt tuyết, Nordic walking, lên dốc, tốc độ vừa"
Walking,Berbasikal,散步,Đi bộ,17313,10.8,"Walking, for exercise, with ski poles, Nordic walking, level ground, carrying 20 to 30 lb load (9.0 to 15.0 kg)","Berjalan untuk senaman, dengan kayu ski, berjalan Nordic, tanah rata, membawa beban 20 hingga 30 lb (9.0 hingga 15.0 kg)",步行锻炼，使用滑雪杖，平地，负重 20-30 磅（9.0-15.0 公斤）,"Đi bộ, để tập thể dục, với gậy trượt tuyết, Nordic walking, mặt bằng, mang tải 9-15 kg (20-30 lb)"
Walking,Berbasikal,散步,Đi bộ,17315,12.3,"Walking, for exercise, with ski poles, Nordic walking, uphill, carrying 20 to 30 lb load (9.0 to 15.0 kg)","Berjalan untuk senaman, dengan kayu ski, berjalan Nordic, mendaki bukit, membawa beban 20 hingga 30 lb (9.0 hingga 15.0 kg)",步行锻炼，使用滑雪杖，上坡，负重 20-30 磅（9.0-15.0 公斤）,"Đi bộ, để tập thể dục, với gậy trượt tuyết, Nordic walking, lên dốc, mang tải 9-15 kg (20-30 lb)"
Walking,Berbasikal,散步,Đi bộ,17320,6,"Walking, backward, 3.5 mph, level","Berjalan ke belakang, 3.5 mph, rata",步行，倒退，3.5 英里/小时，平地,"Đi bộ lùi, 3,5 mph, mặt bằng"
Walking,Berbasikal,散步,Đi bộ,17325,7.8,"Walking, backward, 3.5 mph, uphill, 5% grade","Berjalan ke belakang, 3.5 mph, mendaki bukit, cerun 5%",步行，倒退，3.5 英里/小时，上坡，5% 坡度,"Đi bộ lùi, 3,5 mph, lên dốc, dốc 5%"
Walking,Berbasikal,散步,Đi bộ,17330,8,"Walking, Teabag walk, Monty Python Ministry of Silly Walks","Berjalan, gaya Teabag, Monty Python Ministry of Silly Walks",步行，茶包步，蒙提·派森滑稽步态部,"Đi bộ Teabag, Monty Python Bộ môn điệu bộ ngớ ngẩn"
Walking,Berbasikal,散步,Đi bộ,17332,3.5,"Walking, Putey walk, Monty Python Ministry of Silly Walks","Berjalan, gaya Putey, Monty Python Ministry of Silly Walks",步行，扑特步，蒙提·派森滑稽步态部,"Đi bộ Putey, Monty Python Bộ môn điệu bộ ngớ ngẩn"
Walking,Berbasikal,散步,Đi bộ,17340,2.1,"Walking, treadmill, less than 1.0 mph, 0% grade","Berjalan, treadmill, kurang daripada 1.0 mph, cerun 0%",步行，跑步机，小于 1.0 英里/小时，0% 坡度,"Đi bộ trên máy chạy bộ, <1,0 mph, dốc 0%"
Walking,Berbasikal,散步,Đi bộ,17343,2.3,"Walking, treadmill, 1.0 mph, 0% grade","Berjalan, treadmill, 1.0 mph, cerun 0%",步行，跑步机，1.0 英里/小时，0% 坡度,"Đi bộ trên máy chạy bộ, 1,0 mph, dốc 0%"
Walking,Berbasikal,散步,Đi bộ,17346,2.8,"Walking, treadmill, 1.2 to 1.9 mph, 0% grade (1.9 to 3.0 km/h)","Berjalan, treadmill, 1.2 hingga 1.9 mph, cerun 0% (1.9 hingga 3.0 km/j)",步行，跑步机，1.2-1.9 英里/小时，0% 坡度（1.9-3.0 公里/小时）,"Đi bộ trên máy chạy bộ, 1,2-1,9 mph, dốc 0% (1,9-3,0 km/h)"
Walking,Berbasikal,散步,Đi bộ,17349,3,"Walking, treadmill, 2.0 to 2.4 mph (3.2 to 3.9 km/h), 0% grade","Berjalan, treadmill, 2.0 hingga 2.4 mph (3.2 hingga 3.9 km/j), cerun 0%",步行，跑步机，2.0-2.4 英里/小时（3.2-3.9 公里/小时），0% 坡度,"Đi bộ trên máy chạy bộ, 2,0-2,4 mph (3,2-3,9 km/h), dốc 0%"
Walking,Berbasikal,散步,Đi bộ,17352,3.5,"Walking, treadmill, 2.5 to 2.9 mph (4.0 to 4.7 km/h), 0% grade","Berjalan, treadmill, 2.5 hingga 2.9 mph (4.0 hingga 4.7 km/j), cerun 0%",步行，跑步机，2.5-2.9 英里/小时（4.0-4.7 公里/小时），0% 坡度,"Đi bộ trên máy chạy bộ, 2,5-2,9 mph (4,0-4,7 km/h), dốc 0%"
Walking,Berbasikal,散步,Đi bộ,17355,3.8,"Walking, treadmill, 3.0 to 3.4 mph (4.8 to 5.5 km/h), 0% grade","Berjalan, treadmill, 3.0 hingga 3.4 mph (4.8 hingga 5.5 km/j), cerun 0%",步行，跑步机，3.0-3.4 英里/小时（4.8-5.5 公里/小时），0% 坡度,"Đi bộ trên máy chạy bộ, 3,0-3,4 mph (4,8-5,5 km/h), dốc 0%"
Walking,Berbasikal,散步,Đi bộ,17358,4.8,"Walking, treadmill, 3.5 to 3.9 mph (5.6 to 6.3 km/h), 0% grade","Berjalan, treadmill, 3.5 hingga 3.9 mph (5.6 hingga 6.3 km/j), cerun 0%",步行，跑步机，3.5-3.9 英里/小时（5.6-6.3 公里/小时），0% 坡度,"Đi bộ trên máy chạy bộ, 3,5-3,9 mph (5,6-6,3 km/h), dốc 0%"
Walking,Berbasikal,散步,Đi bộ,17361,5.8,"Walking, treadmill, 4.0 to 4.4 mph (6.4 to 7.1 km/h), 0% grade","Berjalan, treadmill, 4.0 hingga 4.4 mph (6.4 hingga 7.1 km/j), cerun 0%",步行，跑步机，4.0-4.4 英里/小时（6.4-7.1 公里/小时），0% 坡度,"Đi bộ trên máy chạy bộ, 4,0-4,4 mph (6,4-7,1 km/h), dốc 0%"
Walking,Berbasikal,散步,Đi bộ,17364,6.8,"Walking, treadmill, 4.5 to 4.9 mph (7.2 to 7.9 km/h), 0% grade","Berjalan, treadmill, 4.5 hingga 4.9 mph (7.2 hingga 7.9 km/j), cerun 0%",步行，跑步机，4.5-4.9 英里/小时（7.2-7.9 公里/小时），0% 坡度,"Đi bộ trên máy chạy bộ, 4,5-4,9 mph (7,2-7,9 km/h), dốc 0%"
Walking,Berbasikal,散步,Đi bộ,17367,8.3,"Walking, treadmill, 5.0 to 5.5 mph (8.0 to 8.9 km/h), 0% grade","Berjalan, treadmill, 5.0 hingga 5.5 mph (8.0 hingga 8.9 km/j), cerun 0%",步行，跑步机，5.0-5.5 英里/小时（8.0-8.9 公里/小时），0% 坡度,"Đi bộ trên máy chạy bộ, 5,0-5,5 mph (8,0-8,9 km/h), dốc 0%"
Walking,Berbasikal,散步,Đi bộ,17382,3.3,"Walking, treadmill, downhill (-3% to -12% grade), 2.8 to 3.1 mph","Berjalan, treadmill, menurun (-3% hingga -12% cerun), 2.8 hingga 3.1 mph",步行，跑步机，下坡（-3% 至 -12% 坡度），2.8-3.1 英里/小时,"Đi bộ trên máy chạy bộ, xuống dốc (-3% đến -12%), 2,8-3,1 mph"
Walking,Berbasikal,散步,Đi bộ,17412,3.3,"Walking, treadmill, downhill (-5% to -25% grade), 2.8 mph, with Nordic Poles","Berjalan, treadmill, menurun (-5% hingga -25% cerun), 2.8 mph, dengan kayu Nordic",步行，跑步机，下坡（-5% 至 -25% 坡度），2.8 英里/小时，使用滑雪杖,"Đi bộ trên máy chạy bộ, xuống dốc (-5% đến -25%), 2,8 mph, với gậy Nordic"
Walking,Berbasikal,散步,Đi bộ,17434,4.8,"Walking, treadmill, 2.5 mph, 0% grade, 5 to 20 degrees C, 40 lb (18.2 kg) load","Berjalan, treadmill, 2.5 mph, cerun 0%, suhu 5 hingga 20 darjah C, beban 40 lb (18.2 kg)",步行，跑步机，2.5 英里/小时，0% 坡度，5-20℃，负重 40 磅（18.2 公斤）,"Đi bộ trên máy chạy bộ, 2,5 mph, dốc 0%, 5-20 độ C, mang tải 18,2 kg (40 lb)"
Walking,Berbasikal,散步,Đi bộ,17438,5.8,"Walking, treadmill, 2.5 mph, 0% grade, -10 to 0 degrees C, 40 lb (18.2 kg) load","Berjalan, treadmill, 2.5 mph, cerun 0%, suhu -10 hingga 0 darjah C, beban 40 lb (18.2 kg)",步行，跑步机，2.5 英里/小时，0% 坡度，-10 至 0℃，负重 40 磅（18.2 公斤）,"Đi bộ trên máy chạy bộ, 2,5 mph, dốc 0%, -10 đến 0 độ C, mang tải 18,2 kg (40 lb)"
Walking,Berbasikal,散步,Đi bộ,17455,8.3,"Walking, Curved treadmill, 3.0 to 5.0 mph, brisk pace","Berjalan, treadmill melengkung, 3.0 hingga 5.0 mph, kadar laju",步行，弯曲跑步机，3.0-5.0 英里/小时，快速,"Đi bộ trên máy chạy bộ cong, 3,0-5,0 mph, tốc độ nhanh"
Walking,Berbasikal,散步,Đi bộ,17475,7.8,"Walking treadmill, backwards, 2.5 mph, +10% grade","Berjalan treadmill, ke belakang, 2.5 mph, cerun +10%",步行，跑步机，倒退，2.5 英里/小时，+10% 坡度,"Đi bộ trên máy chạy bộ, lùi, 2,5 mph, dốc +10%"
Walking,Berbasikal,散步,Đi bộ,17492,1.5,"Walking, with a walker or step-to gait on treadmill, 0.7 mph (1.1 km/h), 0% grade","Berjalan, dengan walker atau langkah separa di treadmill, 0.7 mph (1.1 km/j), cerun 0%",步行，使用助步器或交替步态在跑步机上，0.7 英里/小时（1.1 公里/小时），0% 坡度,"Đi bộ, với khung tập đi hoặc bước kiểu step-to trên máy chạy bộ, 0,7 mph (1,1 km/h), dốc 0%"
